Rank,Stage,Name,Score
115,成渝赛区,不出门勤消毒,'1.2779
116,江山赛区,2147483647,'1.2867
117,成渝赛区,test_8803_2,'1.2969
118,杭厦赛区,hw44205069,'1.2984
119,江山赛区,hw45181631,'1.3032
120,江山赛区,汪汪没想到,'1.3174
121,江山赛区,额上有疤的男人~个个都是传奇！,'1.3218
122,京津东赛区,hw38572842,'1.3356
123,成渝赛区,voyager3,'1.3391
124,京津东赛区,flagOY,'1.3432
125,武长赛区,fighters,'1.3514
126,成渝赛区,bwsj,'1.357
127,粤港澳赛区,求求你们别调了,'1.3624
128,上合赛区,Hanmt_,'1.3661
129,杭厦赛区,hw23678343,'1.3811
130,西北赛区,7777777,'1.3924
131,西北赛区,hw50854509,'1.3958
132,京津东赛区,flagOY2,'1.3981
133,西北赛区,小号1,'1.411
134,成渝赛区,hw44393473,'1.4135
135,上合赛区,LIUQQQQQ,'1.432
136,武长赛区,442,'1.4411
137,成渝赛区,醉菜,'1.4499
138,京津东赛区,一闪一闪亮晶晶,'1.4508
139,成渝赛区,ssz1995,'1.4551
140,武长赛区,90度茶,'1.457
141,上合赛区,xiaolegao,'1.4615
142,粤港澳赛区,666233,'1.4641
143,上合赛区,曾阿牛,'1.467
144,江山赛区,hw77333090,'1.4709
145,上合赛区,aaccc,'1.4738
146,上合赛区,因为太怕魔法少女就全点了魔抗,'1.4795
147,江山赛区,平平无奇的main.cpp,'1.4862
148,江山赛区,凡凡别打小宇了,'1.4911
149,江山赛区,Nanoda,'1.4933
150,成渝赛区,run,'1.5015
151,粤港澳赛区,上山打老虎,'1.5025
152,武长赛区,星辰,'1.5053
153,粤港澳赛区,hw59925332,'1.511
154,上合赛区,hw99518242,'1.5124
155,武长赛区,Janchylz,'1.5127
156,成渝赛区,zararo,'1.5156
157,武长赛区,WaminLee,'1.5239
158,西北赛区,hw58241489,'1.5297
159,西北赛区,小duuuuuuu,'1.5313
160,西北赛区,所以暂时将你眼睛闭了起来,'1.5327
161,杭厦赛区,zshwyj,'1.5394
162,武长赛区,hw14571351,'1.5471
163,西北赛区,nia1026,'1.549
164,武长赛区,fang,'1.5532
165,海外赛区,nia1026,'1.5557
166,西北赛区,hw80967104,'1.5615
167,上合赛区,试试水,'1.5672
168,杭厦赛区,hw03385384,'1.5688
169,武长赛区,233333,'1.5743
170,西北赛区,WRJYDS999,'1.584
171,京津东赛区,nia1026,'1.5956
172,西北赛区,hw95973867,'1.6013
173,武长赛区,hw63722084,'1.6166
174,上合赛区,古娜拉黑暗之神,'1.6176
175,杭厦赛区,gregoryfh,'1.6216
176,成渝赛区,戴口罩勤洗手,'1.6229
177,上合赛区,魔法少女,'1.6232
178,上合赛区,巴啦啦黑魔仙,'1.6315
179,西北赛区,kunpengNB,'1.6378
180,武长赛区,逐鹿中原,'1.6443
181,成渝赛区,守护最好的鲲鲲,'1.6557
182,成渝赛区,守护最好的鹏鹏,'1.6609
183,成渝赛区,守护最好的鲲鹏,'1.661
184,成渝赛区,prs_nb,'1.6622
185,粤港澳赛区,nia1026,'1.6659
186,成渝赛区,梁大爷粉丝团,'1.6711
187,杭厦赛区,hw20160113,'1.6716
188,成渝赛区,hf_CTNB,'1.674
189,京津东赛区,2234,'1.6826
190,杭厦赛区,niuaer,'1.6901
191,杭厦赛区,clickMe,'1.6923
192,武长赛区,hw92854224,'1.7042
193,杭厦赛区,DoubleNoob,'1.7057
194,成渝赛区,Verilog天下第一,'1.7109
195,京津东赛区,XLY,'1.7142
196,上合赛区,random_circle,'1.7192
197,京津东赛区,挤牙膏,'1.7206
198,杭厦赛区,hw40598751,'1.7217
199,杭厦赛区,hw44342721,'1.7307
200,江山赛区,华为C/C++软件大赛,'1.7443
201,上合赛区,hzatt0429,'1.7462
202,杭厦赛区,想当守门员,'1.7477
203,成渝赛区,cdeb,'1.7477
204,成渝赛区,hwYWYW,'1.7487
205,成渝赛区,我真的一滴都没有了,'1.7509
206,江山赛区,万物皆虚,'1.7554
207,江山赛区,青大附小,'1.7629
208,杭厦赛区,我想静静,'1.7649
209,上合赛区,IooooooI,'1.7671
210,京津东赛区,那我能咋办呀？,'1.7727
211,杭厦赛区,laoban_qiudai,'1.7747
212,杭厦赛区,没有了，没有奇迹了,'1.7764
213,成渝赛区,hw89416826,'1.7773
214,杭厦赛区,hw31413021,'1.7904
215,成渝赛区,hw92174504,'1.7955
216,成渝赛区,a15213038716,'1.7972
217,成渝赛区,任我行,'1.8049
218,杭厦赛区,hdu123456789,'1.8065
219,上合赛区,hw24589003,'1.8153
220,京津东赛区,那我能咋办呀,'1.8165
221,西北赛区,XDU-抗疫小分队,'1.8233
222,成渝赛区,hw75155102,'1.8284
223,成渝赛区,我也是小号,'1.8437
224,成渝赛区,hw41347685,'1.8466
225,上合赛区,良伟红色裤衩粉丝团,'1.8542
226,武长赛区,hw42260600,'1.8581
227,杭厦赛区,VicVan,'1.8601
228,西北赛区,hw42260600,'1.8673
229,上合赛区,MDS110,'1.8696
230,成渝赛区,hw42260600,'1.8715
231,粤港澳赛区,hw42260600,'1.8715
232,成渝赛区,hw37434992,'1.8734
233,杭厦赛区,团队名称,'1.8746
234,西北赛区,快快快,'1.8813
235,江山赛区,hw42260600,'1.8815
236,杭厦赛区,没有团队就不用填团队名了吧,'1.8836
237,杭厦赛区,COOO,'1.8871
238,江山赛区,酸菜鱼,'1.9
239,成渝赛区,lololo,'1.9006
240,上合赛区,aacccc,'1.9031
241,江山赛区,做好挨打的准备,'1.909
242,上合赛区,RubyHong,'1.9177
243,武长赛区,zhaxzhax,'1.924
244,杭厦赛区,palindrome,'1.9331
245,杭厦赛区,hw75507949,'1.9372
246,成渝赛区,你一定要喊吗？？？,'1.9489
247,上合赛区,早晨从中午开始,'1.9574
248,杭厦赛区,hw26738956,'1.958
249,杭厦赛区,快乐风男与石头人,'1.9594
250,上合赛区,科技没有未来，魔法才是王道,'1.9677
251,杭厦赛区,wyj0601,'1.9684
252,杭厦赛区,Oliver0047,'1.9698
253,京津东赛区,hw42260600,'1.9758
254,成渝赛区,hw_2012,'1.9787
255,杭厦赛区,hw93604195,'1.9788
256,成渝赛区,hw39270116,'1.9846
257,成渝赛区,Yumisweet,'1.9889
258,上合赛区,kdelab18,'1.9893
259,西北赛区,hw74964514,'1.9958
260,上合赛区,ywqqqwy,'1.996
261,江山赛区,407,'1.9996
262,西北赛区,xd_lmq,'2.0094
263,西北赛区,ZVPmaster,'2.0114
264,江山赛区,菜鸟联盟,'2.0141
265,京津东赛区,那我该咋办呀,'2.0174
266,江山赛区,hw15574686,'2.0326
267,上合赛区,hw39383290,'2.0386
268,成渝赛区,hw55191524,'2.0437
269,上合赛区,fly,'2.0448
270,武长赛区,Chadriy,'2.0545
271,江山赛区,bohaixileiyin,'2.0568
272,江山赛区,hw45901637,'2.0676
273,杭厦赛区,HDU精神小伙,'2.0707
274,上合赛区,nia1026,'2.0717
275,西北赛区,Chadriy,'2.0805
276,江山赛区,nia1026,'2.0972
277,杭厦赛区,nia1026,'2.1008
278,成渝赛区,我是真的菜,'2.1163
279,杭厦赛区,hw14939025,'2.1224
280,杭厦赛区,asdfghjkl,'2.125
281,西北赛区,hw78220677,'2.1306
282,成渝赛区,nia1026,'2.1342
283,杭厦赛区,gyzhty,'2.1369
284,武长赛区,daimaohui,'2.1497
285,江山赛区,hw73747696,'2.1728
286,京津东赛区,hw34590657,'2.1749
287,江山赛区,miziha,'2.179
288,上合赛区,hw61643045,'2.1845
289,上合赛区,hw74125675,'2.1855
290,西北赛区,WW,'2.1973
291,上合赛区,lcc12345,'2.2052
292,上合赛区,hw05265794,'2.2132
293,武长赛区,玩胖次,'2.2152
294,西北赛区,hw05329408,'2.2228
295,粤港澳赛区,景,'2.2344
296,成渝赛区,hwx709302,'2.2422
297,粤港澳赛区,not_rp,'2.2574
298,杭厦赛区,hw33077508,'2.2757
299,江山赛区,憨憨敬礼,'2.2779
300,杭厦赛区,hw57308748,'2.2783
301,上合赛区,TJUBBD,'2.2785
302,杭厦赛区,hw98324899,'2.2915
303,上合赛区,SRC,'2.3064
304,上合赛区,kde_wy,'2.326
305,粤港澳赛区,Chadriy,'2.3302
306,上合赛区,michaelquick,'2.3306
307,西北赛区,别打了，头都歪了,'2.3353
308,上合赛区,yanghz5,'2.3425
309,粤港澳赛区,hw32563906,'2.3497
310,上合赛区,coder_Lee23,'2.3524
311,上合赛区,阴天傍晚车窗外,'2.3545
312,杭厦赛区,Allen-hong,'2.3583
313,上合赛区,1V3,'2.3586
314,上合赛区,好想去冰岛看极光啊,'2.361
315,成渝赛区,hahaha,'2.3698
316,成渝赛区,gzgywh,'2.3704
317,上合赛区,头发渐稀终不悔,'2.3706
318,上合赛区,hw11212679,'2.3742
319,武长赛区,hw07196854,'2.3853
320,上合赛区,hw39237971,'2.3927
321,西北赛区,YZMSN_WLL,'2.397
322,江山赛区,hw74413797,'2.3992
323,上合赛区,笨比,'2.4015
324,江山赛区,hw84711746,'2.4016
325,江山赛区,hw39338604,'2.4087
326,江山赛区,JYP1996,'2.4171
327,京津东赛区,Zootopia,'2.4181
328,杭厦赛区,试一下水,'2.42
329,武长赛区,难搞,'2.4229
330,上合赛区,sb瑞,'2.4282
331,江山赛区,高英俊,'2.4301
332,成渝赛区,hw39220229,'2.4317
333,粤港澳赛区,little-handsome,'2.4324
334,上合赛区,FantDing,'2.4362
335,江山赛区,haoduodalao,'2.4426
336,上合赛区,bccc,'2.4507
337,武长赛区,hw77737813,'2.4521
338,杭厦赛区,SA19225187,'2.4655
339,上合赛区,对不队,'2.4658
340,成渝赛区,小号,'2.4661
341,成渝赛区,zjky,'2.4672
342,江山赛区,hw44379602,'2.4694
343,杭厦赛区,爬爬爬,'2.4751
344,上合赛区,backkon,'2.4755
345,成渝赛区,MikeZ,'2.4773
346,江山赛区,mengzhongyi,'2.4902
347,粤港澳赛区,黄大佬与严小弟,'2.4921
348,西北赛区,对不队,'2.4966
349,西北赛区,StarFading,'2.5059
350,杭厦赛区,hw94767075,'2.5082
351,上合赛区,对不队2.0,'2.5128
352,成渝赛区,hw46984847,'2.5336
353,上合赛区,Torque2,'2.5337
354,杭厦赛区,Xiangleilei_,'2.5371
355,西北赛区,YangDavid,'2.5377
356,成渝赛区,卡妹今天不出发,'2.538
357,上合赛区,602金龙,'2.5426
358,成渝赛区,龙卷风筝,'2.5558
359,杭厦赛区,hw45648249,'2.5631
360,武长赛区,jackspring,'2.5636
361,成渝赛区,同学，你明白了吗？,'2.57
362,武长赛区,F**K_COVID19,'2.5706
363,粤港澳赛区,a little handsome,'2.5839
364,杭厦赛区,舔包我最行97,'2.5995
365,武长赛区,Mejoryaaaa,'2.6033
366,上合赛区,ThreeStupidCats,'2.6084
367,江山赛区,hw01172954,'2.611
368,成渝赛区,trappist,'2.6372
369,杭厦赛区,hw38429385,'2.6421
370,江山赛区,xxx,'2.6537
371,上合赛区,hw57515763,'2.662
372,西北赛区,hw34003729,'2.6657
373,京津东赛区,hw406315,'2.6691
374,武长赛区,Novice,'2.6694
375,上合赛区,uniuvel,'2.6696
376,上合赛区,随便写个名字,'2.6714
377,西北赛区,3味debugger,'2.6748
378,杭厦赛区,hw59190667,'2.6797
379,上合赛区,奈奈奈,'2.6825
380,成渝赛区,hw77155828,'2.6851
381,武长赛区,五五开没有开挂,'2.6984
382,江山赛区,就当是一场梦,'2.7006
383,江山赛区,hw58026923,'2.7014
384,杭厦赛区,太难了,'2.7042
385,京津东赛区,wrndd111,'2.7062
386,江山赛区,HoggerOvO,'2.7091
387,上合赛区,xkyeys,'2.7102
388,西北赛区,BiuBiuBiu,'2.7113
389,上合赛区,hw92551059,'2.7124
390,成渝赛区,菜鸟指挥官,'2.7137
391,粤港澳赛区,啥也不是,'2.714
392,江山赛区,www,'2.7174
393,杭厦赛区,淡黄的长裙,'2.7221
394,杭厦赛区,hw49779647,'2.7225
395,西北赛区,xjtu_dw,'2.724
396,粤港澳赛区,cbleach,'2.724
397,西北赛区,hw49226307,'2.7242
398,京津东赛区,水沝淼,'2.7294
399,京津东赛区,kiddermg,'2.7301
400,杭厦赛区,金陵雪暖,'2.7305
401,杭厦赛区,FunpLuS,'2.7317
402,成渝赛区,老板，报告我真的憋不出来,'2.7322
403,西北赛区,加油！奥利给！,'2.7324
404,江山赛区,hhq,'2.7327
405,京津东赛区,hw43444746,'2.7332
406,西北赛区,limzero,'2.7344
407,成渝赛区,lalala,'2.7359
408,成渝赛区,hw44676776,'2.7359
409,杭厦赛区,12345,'2.7404
410,武长赛区,啄米,'2.7405
411,上合赛区,hw59431392,'2.7409
412,上合赛区,BeckyPau,'2.7411
413,杭厦赛区,test,'2.7416
414,海外赛区,中年人的快乐,'2.7429
415,上合赛区,fan,'2.7431
416,上合赛区,tan626,'2.7433
417,西北赛区,Vampire_P,'2.7434
418,西北赛区,hw92825959,'2.7444
419,武长赛区,温柔一刀,'2.7449
420,江山赛区,1024,'2.7452
421,成渝赛区,DGGGDD,'2.7464
422,上合赛区,HitMAN_Reborn,'2.7466
423,西北赛区,GKD,'2.7469
424,成渝赛区,ONE PIECE,'2.7473
425,江山赛区,奔跑的菜鸟,'2.7482
426,京津东赛区,hw66615868,'2.749
427,京津东赛区,skrskr,'2.7498
428,武长赛区,hw77840083,'2.7501
429,西北赛区,Qwerty1e,'2.7503
430,成渝赛区,RightHere,'2.7524
431,上合赛区,Arch-Villain_Rafaam,'2.7525
432,杭厦赛区,hw03568452,'2.7529
433,江山赛区,hh99号小分队,'2.7547
434,武长赛区,TryEverything,'2.7556
435,成渝赛区,Idiots,'2.7556
436,成渝赛区,COCOAA,'2.7565
437,武长赛区,曹贼休走,'2.7582
438,江山赛区,勇往直前,'2.7583
439,杭厦赛区,大坏蛋,'2.7589
440,上合赛区,melody111,'2.7592
441,西北赛区,hw98299183,'2.7606
442,杭厦赛区,kkk,'2.7607
443,杭厦赛区,hw18972368,'2.7611
444,江山赛区,专吃王八杰尼龟,'2.7616
445,京津东赛区,吃葡萄不吐葡萄皮,'2.7617
446,京津东赛区,hw42248035,'2.7619
447,京津东赛区,hw34847906,'2.762
448,上合赛区,hw11207117,'2.762
449,上合赛区,OnePiece,'2.7626
450,武长赛区,xbb0720,'2.7634
451,上合赛区,kexuefu,'2.7638
452,京津东赛区,HIToys,'2.7659
453,成渝赛区,hw34574814,'2.7665
454,京津东赛区,miao_777,'2.7668
455,西北赛区,hw92696703,'2.7669
456,京津东赛区,tianyeebing,'2.7675
457,成渝赛区,hw82321295,'2.7681
458,京津东赛区,hw12676125,'2.769
459,成渝赛区,Sideoloes,'2.7701
460,成渝赛区,hw59431392,'2.7707
461,西北赛区,hw86170966,'2.775
462,西北赛区,LYL525799,'2.7755
463,江山赛区,hw90998086,'2.7768
464,武长赛区,cranky_xq,'2.7798
465,成渝赛区,hw21301727,'2.7813
466,成渝赛区,hw30554401,'2.7831
467,成渝赛区,ccvyang,'2.7835
468,成渝赛区,405菜刀队,'2.7856
469,武长赛区,快乐水加速器,'2.7866
470,杭厦赛区,gugugu,'2.7867
471,江山赛区,请以上队伍上台领奖,'2.7883
472,成渝赛区,hw98326750,'2.79
473,西北赛区,我就是Qb,'2.7904
474,杭厦赛区,我尽力,'2.7943
475,江山赛区,hw01057233,'2.8007
476,京津东赛区,hw56832007,'2.8025
477,西北赛区,Hilvcha,'2.8029
478,杭厦赛区,hw45679089,'2.804
479,杭厦赛区,老师说的都队,'2.8104
480,西北赛区,hw57490158,'2.8129
481,成渝赛区,Tinysand2,'2.8154
482,粤港澳赛区,小谷围男子职业技术学院,'2.8184
483,西北赛区,111,'2.8194
484,杭厦赛区,hw68701376,'2.8301
485,上合赛区,疯狂划水,'2.8309
486,成渝赛区,hw39213456,'2.8309
487,西北赛区,jx9527,'2.8325
488,西北赛区,wlqcloud,'2.8355
489,武长赛区,ITryagain,'2.8391
490,京津东赛区,HITCRT,'2.84
491,西北赛区,hw44413241,'2.8475
492,杭厦赛区,自由之翼,'2.8491
493,西北赛区,hw34072282,'2.8507
494,杭厦赛区,F**k,'2.8542
495,武长赛区,Happy Water Accelerator,'2.8588
496,杭厦赛区,hw64347847,'2.8644
497,上合赛区,xlq57913,'2.8664
498,成渝赛区,大白菜,'2.8671
499,粤港澳赛区,瑟瑟发抖,'2.8696
500,武长赛区,HUAWEI P40,'2.8724
501,江山赛区,hw62358439,'2.8756
502,京津东赛区,SA19225187,'2.8765
503,上合赛区,dwtenis,'2.8774
504,成渝赛区,hw88134288,'2.8901
505,杭厦赛区,达拉崩吧,'2.8906
506,杭厦赛区,我赌你枪里没子弹,'2.8917
507,成渝赛区,ruidada,'2.8962
508,京津东赛区,dwtenis,'2.8974
509,杭厦赛区,sp,'2.8975
510,上合赛区,ruidada,'2.8999
511,西北赛区,hw88225955,'2.9052
512,武长赛区,大哥大,'2.9056
513,武长赛区,hw08463549,'2.9079
514,西北赛区,yang_jx,'2.9198
515,成渝赛区,青花瓷砖,'2.9276
516,武长赛区,Zjxuuu,'2.9373
517,京津东赛区,HITOuyangSen,'2.9446
518,杭厦赛区,Jake5626,'2.9515
519,上合赛区,shammy,'2.962
520,成渝赛区,hw65136177,'2.9626
521,成渝赛区,RADIO,'2.966
522,成渝赛区,hw00636709,'2.9688
523,西北赛区,hw69703346,'2.972
524,杭厦赛区,HangDianWaterest,'2.9762
525,上合赛区,Yottabyte,'2.9823
526,西北赛区,fang_tang,'2.9955
527,杭厦赛区,hw35901409,'3.0331
528,杭厦赛区,lonelyming,'3.0342
529,粤港澳赛区,重启2020,'3.0417
530,成渝赛区,lnjjjj,'3.0515
531,西北赛区,bostonfcb,'3.0519
532,西北赛区,manatsu,'3.0574
533,西北赛区,铁索连环,'3.0579
534,杭厦赛区,Kaizyn,'3.0595
535,武长赛区,零陵上将邢道荣,'3.0596
536,江山赛区,祖传铁匠铺,'3.067
537,杭厦赛区,hw56426573,'3.0725
538,京津东赛区,ningyue1,'3.0761
539,杭厦赛区,吃葡萄不吐葡萄皮,'3.087
540,成渝赛区,hw51203449,'3.0876
541,上合赛区,hw36707724,'3.0897
542,上合赛区,hw62161746,'3.1227
543,粤港澳赛区,ruidada,'3.1318
544,杭厦赛区,略略略！605,'3.1428
545,杭厦赛区,hw34093730,'3.1488
546,上合赛区,小火车,'3.1572
547,成渝赛区,Eric_Young,'3.1825
548,江山赛区,今晚打老虎,'3.1845
549,上合赛区,SA19225187,'3.1847
550,成渝赛区,notokkk,'3.2283
551,西北赛区,hw44420059,'3.234
552,粤港澳赛区,总是RE怎么办,'3.2371
553,武长赛区,huhusw,'3.2376
554,江山赛区,hw96897549,'3.2479
555,杭厦赛区,hw52224402,'3.2755
556,武长赛区,hw51147637,'3.2846
557,西北赛区,kkiix,'3.2887
558,上合赛区,hw20277792,'3.2946
559,成渝赛区,一号小分队,'3.2947
560,上合赛区,工中三兄弟,'3.3175
561,粤港澳赛区,hellot 开始,'3.328
562,上合赛区,Williss,'3.3442
563,京津东赛区,hw68456582,'3.3444
564,西北赛区,ADDAA96FD6304A9F952A4433A087610D,'3.3483
565,上合赛区,hahaha,'3.3563
566,西北赛区,qiaotongxue,'3.3649
567,杭厦赛区,灶门炭治郎,'3.3678
568,杭厦赛区,反洗钱团伙,'3.3715
569,京津东赛区,循环转账二十万,'3.4031
570,成渝赛区,MH,'3.4092
571,江山赛区,愤怒的Python,'3.4124
572,江山赛区,一个大大大大大橙子,'3.4186
573,上合赛区,hw27491266,'3.4194
574,江山赛区,垃圾C++,'3.4206
575,江山赛区,谁TM写Python,'3.435
576,成渝赛区,hw79107462,'3.4432
577,成渝赛区,hw85938985,'3.4471
578,成渝赛区,hw17163246,'3.4497
579,江山赛区,淡黄的长裙,'3.4558
580,上合赛区,小嘉队,'3.4622
581,京津东赛区,hw87824027,'3.4626
582,上合赛区,guanrui95,'3.4689
583,杭厦赛区,Feng_Shiyu,'3.477
584,上合赛区,hw85500118,'3.4868
585,杭厦赛区,hw76138140,'3.491
586,京津东赛区,hw,'3.4912
587,武长赛区,学反洗钱的洗钱组~,'3.4913
588,上合赛区,hw00717793,'3.5011
589,成渝赛区,希望做的都队,'3.5045
590,武长赛区,hw52602753,'3.5092
591,西北赛区,优化不动了,'3.5301
592,上合赛区,Yao_725,'3.5408
593,江山赛区,Bug-maker,'3.5492
594,江山赛区,CPPPPPP,'3.5714
595,粤港澳赛区,coco_cola,'3.5786
596,杭厦赛区,twp584,'3.585
597,杭厦赛区,Ico945,'3.5858
598,京津东赛区,hellokun,'3.6135
599,江山赛区,江湖险恶,'3.6281
600,粤港澳赛区,kim_tim,'3.6383
601,杭厦赛区,hw98474289,'3.6407
602,西北赛区,ydobi_,'3.646
603,杭厦赛区,lastxuanshen,'3.6523
604,武长赛区,Bota5ky,'3.6547
605,武长赛区,hw78446253,'3.6588
606,京津东赛区,Firework,'3.6592
607,杭厦赛区,WUHUQIFEI,'3.673
608,杭厦赛区,lqsute,'3.6747
609,海外赛区,周日被我射熄火了 今天是周一,'3.6844
610,杭厦赛区,随便搞搞,'3.7025
611,江山赛区,歌德寂寞,'3.7142
612,武长赛区,hw00636709,'3.7156
613,成渝赛区,尾巴不只能用来挠痒痒哦,'3.7297
614,京津东赛区,hw41098441,'3.7326
615,京津东赛区,长方体混凝土移动工程局,'3.7409
616,江山赛区,老周最强,'3.7431
617,江山赛区,hw0002,'3.7447
618,上合赛区,hw36652171,'3.76
619,成渝赛区,听说改名HW就能中奖,'3.7698
620,江山赛区,hw68448534,'3.8154
621,江山赛区,原来比赛都是用C++的,'3.8155
622,京津东赛区,hw41277161,'3.8477
623,江山赛区,干死黄旭东,'3.8536
624,武长赛区,sunxiangjun,'3.8641
625,上合赛区,咱也没想到这么难,'3.8704
626,武长赛区,关山口小分队,'3.8733
627,京津东赛区,hw60460127,'3.8748
628,京津东赛区,JNJYan,'3.8777
629,西北赛区,senhony,'3.8823
630,武长赛区,chenyj99,'3.8867
631,杭厦赛区,张小小恩,'3.9018
632,西北赛区,hw75507949,'3.9077
633,成渝赛区,hw41855014,'3.9177
634,成渝赛区,test_8262_123,'3.9337
635,成渝赛区,test_8803_3,'3.9352
636,杭厦赛区,你们好快呀,'3.9572
637,杭厦赛区,你们都好快~,'3.9589
638,上合赛区,hw49485044,'3.9642
639,西北赛区,Smart_East,'3.9688
640,西北赛区,EGM_EGMEGM,'3.9791
641,京津东赛区,hw19994293,'3.9875
642,杭厦赛区,coymail,'3.9936
643,京津东赛区,hw13357095,'3.995
644,上合赛区,hw67008262,'4.0216
645,江山赛区,没人写汇编吗,'4.0283
646,江山赛区,HearMeGiao!,'4.0353
