Rank,Name,Score
191,江山赛区,haoduodalao,'1.3031
192,江山赛区,hw45181631,'1.3032
193,武长赛区,daimaohui,'1.3038
194,成渝赛区,hw89416826,'1.3234
195,武长赛区,WaminLee,'1.3264
196,上合赛区,hw10994536,'1.3319
197,京津东赛区,hw38572842,'1.3356
198,京津东赛区,flagOY,'1.3432
199,武长赛区,fighters,'1.3514
200,江山赛区,hw96897549,'1.3538
201,成渝赛区,bwsj,'1.357
202,上合赛区,曾阿牛,'1.3591
203,粤港澳赛区,求求你们别调了,'1.3624
204,京津东赛区,flagOY2,'1.3638
205,江山赛区,Eason6688,'1.3792
206,江山赛区,今晚打老虎,'1.3867
207,江山赛区,1024,'1.3912
208,西北赛区,7777777,'1.3924
209,西北赛区,hw50854509,'1.3958
210,杭厦赛区,HDU穷哥们,'1.4061
211,江山赛区,平平无奇的main.cpp,'1.4084
212,江山赛区,万物皆虚,'1.4097
213,成渝赛区,Mxylulu,'1.4135
214,武长赛区,hw08463549,'1.4145
215,杭厦赛区,Allen-hong,'1.4269
216,成渝赛区,醉菜,'1.4311
217,武长赛区,Zjxuuu,'1.4361
218,上合赛区,FantDing,'1.4418
219,杭厦赛区,DoubleNoob,'1.4538
220,西北赛区,hw80967104,'1.4539
221,上合赛区,aacccccc,'1.4738
222,上合赛区,因为太怕魔法少女就全点了魔抗,'1.4795
223,杭厦赛区,water0627,'1.4808
224,江山赛区,Nanoda,'1.4933
225,粤港澳赛区,上山打老虎,'1.4937
226,成渝赛区,run,'1.5015
227,武长赛区,星辰,'1.5053
228,粤港澳赛区,hw59925332,'1.511
229,武长赛区,Janchylz,'1.5127
230,成渝赛区,zararo,'1.5156
231,上合赛区,hw39383290,'1.5166
232,杭厦赛区,996战狼与香辛料,'1.5174
233,杭厦赛区,hw14939025,'1.5187
234,京津东赛区,mysakure,'1.5293
235,西北赛区,所以暂时将你眼睛闭了起来,'1.5327
236,西北赛区,nia1026,'1.549
237,江山赛区,hw45901637,'1.5498
238,江山赛区,祖传铁匠铺,'1.5551
239,海外赛区,nia1026,'1.5557
240,上合赛区,ywqqqwy,'1.5691
241,武长赛区,233333,'1.5743
242,西北赛区,hw34003729,'1.5814
243,西北赛区,WRJYDS999,'1.584
244,京津东赛区,nia1026,'1.5956
245,西北赛区,ZVPmaster,'1.597
246,西北赛区,hw95973867,'1.6013
247,武长赛区,逐鹿中原,'1.6051
248,上合赛区,古娜拉黑暗之神,'1.6176
249,京津东赛区,HITCRT,'1.623
250,上合赛区,魔法少女,'1.6232
251,成渝赛区,守护最好的鲲鹏,'1.6256
252,杭厦赛区,Jake5626,'1.6308
253,上合赛区,巴啦啦黑魔仙,'1.6315
254,成渝赛区,守护最好的鲲鲲,'1.6557
255,江山赛区,三三得九,'1.6565
256,成渝赛区,守护最好的鹏鹏,'1.6609
257,成渝赛区,prs_nb,'1.6622
258,粤港澳赛区,nia1026,'1.6659
259,上合赛区,科技没有未来，魔法才是王道,'1.6697
260,成渝赛区,梁大爷粉丝团,'1.6711
261,成渝赛区,hf_CTNB,'1.674
262,京津东赛区,ADDAA96FD6304A9F952A4433A087610D,'1.6826
263,杭厦赛区,niuaer,'1.6901
264,杭厦赛区,clickMe,'1.6923
265,京津东赛区,那我该咋办呀,'1.7028
266,武长赛区,淡黄的长裙,'1.7042
267,成渝赛区,Verilog天下第一,'1.7109
268,京津东赛区,XLY,'1.7142
269,上合赛区,random_circle,'1.7192
270,京津东赛区,挤牙膏,'1.7206
271,杭厦赛区,tttttt,'1.7307
272,成渝赛区,hw_2012,'1.7445
273,上合赛区,早晨从中午开始,'1.7459
274,杭厦赛区,想当守门员,'1.7477
275,成渝赛区,cdeb,'1.7477
276,江山赛区,青大附小,'1.7629
277,杭厦赛区,我想静静,'1.7649
278,成渝赛区,try_everything,'1.7684
279,成渝赛区,hw41347685,'1.7719
280,京津东赛区,那我能咋办呀？,'1.7727
281,杭厦赛区,laoban_qiudai,'1.7747
282,杭厦赛区,没有了，没有奇迹了,'1.7764
283,成渝赛区,hw28162455,'1.7812
284,西北赛区,yrr123456,'1.7855
285,江山赛区,hw03308443,'1.786
286,成渝赛区,hahaha,'1.7882
287,杭厦赛区,hw31413021,'1.7904
288,成渝赛区,hw74389733,'1.7908
289,成渝赛区,hw75155102,'1.7952
290,上合赛区,工中三兄弟,'1.7954
291,成渝赛区,hw92174504,'1.7955
292,成渝赛区,a15213038716,'1.7972
293,粤港澳赛区,景,'1.8009
294,上合赛区,随便写个名字,'1.8035
295,成渝赛区,任我行,'1.8049
296,成渝赛区,lololo,'1.8056
297,杭厦赛区,hdu123456789,'1.8065
298,江山赛区,hw68932494,'1.8067
299,杭厦赛区,hw68701376,'1.8077
300,成渝赛区,hw55191524,'1.8079
301,上合赛区,hw24589003,'1.8153
302,京津东赛区,那我能咋办呀,'1.8165
303,西北赛区,XDU-抗疫小分队,'1.8233
304,上合赛区,1V3,'1.8277
305,杭厦赛区,hw12158889,'1.8383
306,上合赛区,northk,'1.8388
307,上合赛区,xkyeys,'1.8398
308,成渝赛区,我也是小号,'1.8437
309,上合赛区,良伟红色裤衩粉丝团,'1.8542
310,武长赛区,hw42260600,'1.8581
311,杭厦赛区,VicVan,'1.8601
312,上合赛区,hw55971556,'1.8669
313,西北赛区,hw42260600,'1.8673
314,成渝赛区,hw42260600,'1.8715
315,粤港澳赛区,hw42260600,'1.8715
316,成渝赛区,hw37434992,'1.8734
317,杭厦赛区,团队名称,'1.8746
318,西北赛区,快快快,'1.8813
319,江山赛区,hw42260600,'1.8815
320,杭厦赛区,hw96234002,'1.8836
321,武长赛区,hw24079105,'1.8847
322,江山赛区,酸菜鱼,'1.9
323,上合赛区,hw04618892,'1.9031
324,江山赛区,我我我我我回来了,'1.909
325,武长赛区,零陵上将邢道荣,'1.9115
326,武长赛区,zhaxzhax,'1.924
327,杭厦赛区,palindrome,'1.9331
328,成渝赛区,你一定要喊吗？？？,'1.9351
329,成渝赛区,龙卷风筝,'1.9357
330,杭厦赛区,hw75507949,'1.9372
331,江山赛区,hw90998086,'1.9402
332,江山赛区,hw42602374,'1.945
333,杭厦赛区,灶门炭治郎,'1.9511
334,上合赛区,匿名,'1.9572
335,杭厦赛区,hw26738956,'1.958
336,杭厦赛区,快乐风男与石头人,'1.9594
337,江山赛区,yzlzjfc,'1.9626
338,杭厦赛区,Oliver0047,'1.9698
339,粤港澳赛区,little-handsome,'1.9727
340,京津东赛区,hw42260600,'1.9758
341,京津东赛区,kiddermg,'1.9767
342,成渝赛区,hw39270116,'1.9846
343,上合赛区,kdelab18,'1.9893
344,西北赛区,hw74964514,'1.9958
345,江山赛区,407,'1.9996
346,西北赛区,LLLMMMQQQ,'2.0094
347,西北赛区,xjtu_dw,'2.0137
348,江山赛区,菜鸟联盟,'2.0141
349,江山赛区,hw15574686,'2.0326
350,西北赛区,别打了，头都歪了,'2.0343
351,上合赛区,fly,'2.0448
352,江山赛区,hw33999253,'2.0471
353,江山赛区,boovn,'2.0522
354,武长赛区,Chadriy,'2.0545
355,江山赛区,bohaixileiyin,'2.0568
356,成渝赛区,hw69549065,'2.0629
357,杭厦赛区,HDU精神小伙,'2.0707
358,上合赛区,nia1026,'2.0717
359,西北赛区,Chadriy,'2.0805
360,江山赛区,酱油,'2.091
361,江山赛区,nia1026,'2.0972
362,杭厦赛区,nia1026,'2.1008
363,武长赛区,玩胖次,'2.1155
364,成渝赛区,我是真的菜,'2.1163
365,成渝赛区,RightHere,'2.1254
366,西北赛区,hw78220677,'2.1306
367,成渝赛区,nia1026,'2.1342
368,杭厦赛区,gyzhty,'2.1369
369,杭厦赛区,lonelyming,'2.1478
370,西北赛区,Smart_East,'2.1641
371,江山赛区,hw73747696,'2.1728
372,粤港澳赛区,a little handsome,'2.177
373,江山赛区,miziha,'2.179
374,上合赛区,hw61643045,'2.1845
375,上合赛区,hw74125675,'2.1855
376,西北赛区,WW,'2.1973
377,京津东赛区,Firework,'2.2113
378,上合赛区,我就要用Python！,'2.2124
379,上合赛区,hw05265794,'2.2132
380,京津东赛区,wrndd111,'2.2145
381,上合赛区,michaelquick,'2.2198
382,西北赛区,hw05329408,'2.2228
383,成渝赛区,老板，报告我真的憋不出来,'2.2286
384,成渝赛区,hwx709302,'2.2422
385,武长赛区,hw17332251,'2.2527
386,粤港澳赛区,not_rp,'2.2574
387,成渝赛区,hw45188251,'2.2578
388,杭厦赛区,hw33077508,'2.2757
389,杭厦赛区,hw57308748,'2.2783
390,成渝赛区,lnjjjj,'2.2854
391,成渝赛区,我要成为海贼王，的男人,'2.2883
392,杭厦赛区,补补,'2.2915
393,上合赛区,hw36652171,'2.2931
394,江山赛区,hw44379602,'2.2996
395,上合赛区,SRC,'2.3064
396,上合赛区,TzT_tztztz,'2.311
397,上合赛区,Williss,'2.3199
398,上合赛区,kde_wy,'2.326
399,粤港澳赛区,Chadriy,'2.3302
400,江山赛区,hw01172954,'2.3308
401,成渝赛区,Eric_Young,'2.3345
402,武长赛区,难搞,'2.3366
403,杭厦赛区,hw74356552,'2.3396
404,上合赛区,yanghz5,'2.3425
405,粤港澳赛区,hw32563906,'2.3497
406,成渝赛区,hw39220229,'2.3499
407,上合赛区,coder_Lee23,'2.3524
408,上合赛区,阴天傍晚车窗外,'2.3545
409,成渝赛区,DGGGDD,'2.3547
410,上合赛区,好想去冰岛看极光啊,'2.361
411,京津东赛区,hw11425609,'2.3629
412,成渝赛区,gzgywh,'2.3704
413,上合赛区,头发渐稀终不悔,'2.3706
414,上合赛区,hw11212679,'2.3742
415,成渝赛区,hw60560423,'2.3806
416,武长赛区,hw07196854,'2.3853
417,杭厦赛区,hw12629377,'2.3888
418,上合赛区,hw39237971,'2.3927
419,西北赛区,YZMSN_WLL,'2.397
420,杭厦赛区,hw38429385,'2.3988
421,江山赛区,hw74413797,'2.3992
422,杭厦赛区,hw52224402,'2.4005
423,西北赛区,hw44420059,'2.4113
424,西北赛区,Vampire_R,'2.4135
425,江山赛区,JYP1996,'2.4171
426,京津东赛区,Zootopia,'2.4181
427,杭厦赛区,试一下水,'2.42
428,杭厦赛区,test,'2.4246
429,上合赛区,sb瑞,'2.4282
430,江山赛区,高英俊,'2.4301
431,成渝赛区,hw77155828,'2.4306
432,武长赛区,TryEverything,'2.4365
433,上合赛区,对不队,'2.4439
434,西北赛区,3味debugger,'2.4447
435,江山赛区,SA19225187,'2.4475
436,上合赛区,hw30711631,'2.4507
437,武长赛区,hw77737813,'2.4521
438,江山赛区,辰湖,'2.4554
439,杭厦赛区,SA19225187,'2.4655
440,成渝赛区,小号,'2.4661
441,成渝赛区,zjky,'2.4672
442,江山赛区,xxx,'2.4722
443,杭厦赛区,爬爬爬,'2.4751
444,上合赛区,先放DJ 先放DJ,'2.4755
445,武长赛区,1234,'2.4769
446,成渝赛区,MikeZ,'2.4773
447,江山赛区,mengzhongyi,'2.4902
448,上合赛区,hw99325344,'2.5036
449,杭厦赛区,hw94767075,'2.5082
450,上合赛区,对不队2.0,'2.5128
451,江山赛区,HoggerOvO,'2.5267
452,成渝赛区,hw46984847,'2.5336
453,上合赛区,Torque2,'2.5337
454,杭厦赛区,Xiangleilei_,'2.5371
455,西北赛区,YangDavid,'2.5377
456,成渝赛区,卡妹今天不出发,'2.538
457,上合赛区,602金龙,'2.5426
458,杭厦赛区,hw45648249,'2.5631
459,武长赛区,jackspring,'2.5636
460,上合赛区,喵喵叹气,'2.5683
461,成渝赛区,同学，你明白了吗？,'2.57
462,武长赛区,F**K_COVID19,'2.5706
463,杭厦赛区,hw18972368,'2.591
464,杭厦赛区,舔包我最行97,'2.5995
465,武长赛区,Mejoryaaaa,'2.6033
466,上合赛区,ThreeStupidCats,'2.6084
467,成渝赛区,ONE PIECE,'2.6238
468,成渝赛区,trappist,'2.6372
469,粤港澳赛区,瑟瑟发抖,'2.6532
470,上合赛区,hw57515763,'2.662
471,京津东赛区,hw406315,'2.6691
472,武长赛区,Novice,'2.6694
473,上合赛区,uniuvel,'2.6696
474,江山赛区,专吃王八杰尼龟,'2.6696
475,杭厦赛区,hw59190667,'2.6797
476,上合赛区,奈奈奈,'2.6825
477,京津东赛区,hw56832007,'2.6882
478,武长赛区,HUAWEI P40,'2.6914
479,江山赛区,就当是一场梦,'2.7006
480,江山赛区,hw58026923,'2.7014
481,杭厦赛区,太难了,'2.7042
482,京津东赛区,HIToys,'2.7096
483,西北赛区,BiuBiuBiu,'2.7113
484,上合赛区,hw92551059,'2.7124
485,杭厦赛区,mkt_7489_9109,'2.7135
486,江山赛区,大专人我大专神！大专都是人上人！给我冲,'2.7137
487,成渝赛区,菜鸟指挥官,'2.7137
488,粤港澳赛区,啥也不是,'2.714
489,杭厦赛区,石家冲,'2.7158
490,江山赛区,www,'2.7174
491,杭厦赛区,淡黄的长裙,'2.7221
492,杭厦赛区,hw49779647,'2.7225
493,粤港澳赛区,cbleach,'2.724
494,西北赛区,hw49226307,'2.7242
495,西北赛区,hw43989645,'2.7261
496,京津东赛区,水沝淼,'2.7294
497,杭厦赛区,金陵雪暖,'2.7305
498,杭厦赛区,FunpLuS,'2.7317
499,西北赛区,加油！奥利给！,'2.7324
500,江山赛区,hhq,'2.7327
501,京津东赛区,hw43444746,'2.7332
502,西北赛区,limzero,'2.7344
503,成渝赛区,lalala,'2.7359
504,成渝赛区,hw44676776,'2.7359
505,成渝赛区,hw52268800,'2.7364
506,京津东赛区,ningyue1,'2.7384
507,武长赛区,啄米,'2.7405
508,上合赛区,hw59431392,'2.7409
509,上合赛区,BeckyPau,'2.7411
510,海外赛区,中年人的快乐,'2.7429
511,上合赛区,fan,'2.7431
512,上合赛区,tan626,'2.7433
513,西北赛区,Vampire_P,'2.7434
514,西北赛区,hw92825959,'2.7444
515,武长赛区,温柔一刀,'2.7449
516,上合赛区,HitMAN_Reborn,'2.7466
517,西北赛区,GKD,'2.7469
518,江山赛区,奔跑的菜鸟,'2.7482
519,京津东赛区,hw66615868,'2.749
520,京津东赛区,skrskr,'2.7498
521,武长赛区,hw77840083,'2.7501
522,西北赛区,Qwerty1e,'2.7503
523,上合赛区,Arch-Villain_Rafaam,'2.7525
524,杭厦赛区,hw03568452,'2.7529
525,江山赛区,hh99号小分队,'2.7547
526,成渝赛区,Idiots,'2.7556
527,成渝赛区,COCOAA,'2.7565
528,武长赛区,曹贼休走,'2.7582
529,江山赛区,勇往直前,'2.7583
530,杭厦赛区,大坏蛋,'2.7589
531,上合赛区,melody111,'2.7592
532,西北赛区,hw98299183,'2.7606
533,杭厦赛区,kkk,'2.7607
534,京津东赛区,吃葡萄不吐葡萄皮,'2.7617
535,京津东赛区,hw42248035,'2.7619
536,京津东赛区,hw34847906,'2.762
537,上合赛区,hw11207117,'2.762
538,上合赛区,OnePiece,'2.7626
539,武长赛区,xbb0720,'2.7634
540,上合赛区,kexuefu,'2.7638
541,江山赛区,hw01057233,'2.764
542,成渝赛区,hw34574814,'2.7665
543,京津东赛区,miao_777,'2.7668
544,西北赛区,hw92696703,'2.7669
545,京津东赛区,tianyeebing,'2.7675
546,成渝赛区,hw82321295,'2.7681
547,京津东赛区,hw12676125,'2.769
548,成渝赛区,Sideoloes,'2.7701
549,成渝赛区,hw59431392,'2.7707
550,西北赛区,hw86170966,'2.775
551,西北赛区,LYL525799,'2.7755
552,成渝赛区,尾巴不只能用来挠痒痒哦,'2.7786
553,京津东赛区,诺克萨斯之手之无情铁手,'2.7796
554,武长赛区,cranky_xq,'2.7798
555,成渝赛区,hw21301727,'2.7813
556,上合赛区,hw96116808,'2.7822
557,成渝赛区,ccvyang,'2.7835
558,成渝赛区,405菜刀队,'2.7856
559,武长赛区,快乐水加速器,'2.7866
560,杭厦赛区,gugugu,'2.7867
561,江山赛区,请以上队伍上台领奖,'2.7883
562,成渝赛区,hw98326750,'2.79
563,西北赛区,我就是Qb,'2.7904
564,杭厦赛区,我尽力,'2.7943
565,西北赛区,Hilvcha,'2.8029
566,杭厦赛区,斐波那契数列,'2.8038
567,杭厦赛区,hw45679089,'2.804
568,杭厦赛区,老师说的都队,'2.8104
569,西北赛区,hw57490158,'2.8129
570,成渝赛区,Tinysand2,'2.8154
571,粤港澳赛区,小谷围男子职业技术学院,'2.8184
572,西北赛区,111,'2.8194
573,上合赛区,疯狂划水,'2.8309
574,成渝赛区,hw39213456,'2.8309
575,西北赛区,jx9527,'2.8325
576,西北赛区,wlqcloud,'2.8355
577,武长赛区,ITryagain,'2.8391
578,成渝赛区,hw54203167,'2.8434
579,成渝赛区,RADIO,'2.8443
580,西北赛区,hw44413241,'2.8475
581,杭厦赛区,自由之翼,'2.8491
582,西北赛区,hw34072282,'2.8507
583,杭厦赛区,F**k,'2.8542
584,武长赛区,Happy Water Accelerator,'2.8588
585,上合赛区,xlq57913,'2.8664
586,成渝赛区,大白菜,'2.8671
587,江山赛区,hw62358439,'2.8756
588,京津东赛区,SA19225187,'2.8765
589,上合赛区,dwtenis,'2.8774
590,成渝赛区,hw88134288,'2.8901
591,杭厦赛区,达拉崩吧,'2.8906
592,杭厦赛区,我赌你枪里没子弹,'2.8917
593,成渝赛区,ruidada,'2.8962
594,京津东赛区,dwtenis,'2.8974
595,杭厦赛区,sp,'2.8975
596,上合赛区,ruidada,'2.8999
597,成渝赛区,三人行,'2.901
598,西北赛区,hw88225955,'2.9052
599,武长赛区,大哥大,'2.9056
600,西北赛区,yang_jx,'2.9198
601,杭厦赛区,hw23568183,'2.9259
602,成渝赛区,青花瓷砖,'2.9276
603,上合赛区,hw49485044,'2.9318
604,京津东赛区,HITOuyangSen,'2.9446
605,上合赛区,shammy,'2.962
606,成渝赛区,hw00636709,'2.9688
607,西北赛区,hw69703346,'2.972
608,杭厦赛区,HangDianWaterest,'2.9762
609,上合赛区,Yottabyte,'2.9823
610,江山赛区,HearMeGiao!,'2.9835
611,西北赛区,fang_tang,'2.9955
612,武长赛区,hw16924810,'3.0243
613,粤港澳赛区,重启2020,'3.0417
614,西北赛区,bostonfcb,'3.0519
615,西北赛区,manatsu,'3.0574
616,西北赛区,铁索连环,'3.0579
617,杭厦赛区,Kaizyn,'3.0595
618,杭厦赛区,hw56426573,'3.0725
619,杭厦赛区,吃葡萄不吐葡萄皮,'3.087
620,成渝赛区,hw51203449,'3.0876
621,上合赛区,hw36707724,'3.0897
622,上合赛区,hw62161746,'3.1227
623,粤港澳赛区,ruidada,'3.1318
624,杭厦赛区,略略略！605,'3.1428
625,杭厦赛区,hw34093730,'3.1488
626,上合赛区,SA19225187,'3.1847
627,成渝赛区,notokkk,'3.2283
628,粤港澳赛区,总是RE怎么办,'3.2371
629,武长赛区,huhusw,'3.2376
630,成渝赛区,111222,'3.2607
631,武长赛区,hw51147637,'3.2846
632,江山赛区,干死黄旭东,'3.2861
633,西北赛区,kkiix,'3.2887
634,上合赛区,hw20277792,'3.2946
635,成渝赛区,一号小分队,'3.2947
636,粤港澳赛区,hellot 开始,'3.328
637,西北赛区,qiaotongxue,'3.3391
638,京津东赛区,hw68456582,'3.3444
639,西北赛区,666111,'3.3483
640,上合赛区,hahaha,'3.3563
641,江山赛区,hw26807682,'3.3597
642,江山赛区,谁TM写Python,'3.3762
643,江山赛区,淡黄的长裙,'3.4029
644,京津东赛区,循环转账二十万,'3.4031
645,上合赛区,hw94524748_,'3.4056
646,成渝赛区,MH,'3.4092
647,江山赛区,愤怒的Python,'3.4124
